model,contract,residual_bin,count
constrained_ols_av,pass,-11.0514,7
constrained_ols_av,pass,-10.4146,10
constrained_ols_av,pass,-9.7779,36
constrained_ols_av,pass,-9.1412,132
constrained_ols_av,pass,-8.5044,109
constrained_ols_av,pass,-7.8677,167
constrained_ols_av,pass,-7.2309,229
constrained_ols_av,pass,-6.5942,336
constrained_ols_av,pass,-5.9575,210
constrained_ols_av,pass,-5.3207,361
constrained_ols_av,pass,-4.684,474
constrained_ols_av,pass,-4.0472,404
constrained_ols_av,pass,-3.4105,300
constrained_ols_av,pass,-2.7738,317
constrained_ols_av,pass,-2.137,383
constrained_ols_av,pass,-1.5003,169
constrained_ols_av,pass,-0.8635,363
constrained_ols_av,pass,-0.2268,848
constrained_ols_av,pass,0.4099,117
constrained_ols_av,pass,1.0467,28
full_ols_av,pass,-11.7553,3
full_ols_av,pass,-11.0435,3
full_ols_av,pass,-10.3317,14
full_ols_av,pass,-9.6198,33
full_ols_av,pass,-8.908,77
full_ols_av,pass,-8.1962,127
full_ols_av,pass,-7.4844,222
full_ols_av,pass,-6.7726,331
full_ols_av,pass,-6.0607,467
full_ols_av,pass,-5.3489,513
full_ols_av,pass,-4.6371,515
full_ols_av,pass,-3.9253,479
full_ols_av,pass,-3.2135,371
full_ols_av,pass,-2.5017,258
full_ols_av,pass,-1.7898,187
full_ols_av,pass,-1.078,329
full_ols_av,pass,-0.3662,531
full_ols_av,pass,0.3456,386
full_ols_av,pass,1.0574,138
full_ols_av,pass,1.7692,16
gbt_av,pass,-17.4219,1
gbt_av,pass,-16.2411,0
gbt_av,pass,-15.0603,1
gbt_av,pass,-13.8795,3
gbt_av,pass,-12.6988,4
gbt_av,pass,-11.518,13
gbt_av,pass,-10.3372,36
gbt_av,pass,-9.1565,124
gbt_av,pass,-7.9757,296
gbt_av,pass,-6.7949,490
gbt_av,pass,-5.6142,807
gbt_av,pass,-4.4334,763
gbt_av,pass,-3.2526,612
gbt_av,pass,-2.0719,390
gbt_av,pass,-0.8911,624
gbt_av,pass,0.2897,726
gbt_av,pass,1.4705,83
gbt_av,pass,2.6512,20
gbt_av,pass,3.832,4
gbt_av,pass,5.0128,3
selected_ols_av,pass,-12.1764,1
selected_ols_av,pass,-11.4572,1
selected_ols_av,pass,-10.738,7
selected_ols_av,pass,-10.0187,20
selected_ols_av,pass,-9.2995,37
selected_ols_av,pass,-8.5802,111
selected_ols_av,pass,-7.861,143
selected_ols_av,pass,-7.1418,262
selected_ols_av,pass,-6.4225,451
selected_ols_av,pass,-5.7033,440
selected_ols_av,pass,-4.984,606
selected_ols_av,pass,-4.2648,413
selected_ols_av,pass,-3.5456,497
selected_ols_av,pass,-2.8263,268
selected_ols_av,pass,-2.1071,245
selected_ols_av,pass,-1.3878,314
selected_ols_av,pass,-0.6686,562
selected_ols_av,pass,0.0506,438
selected_ols_av,pass,0.7699,175
selected_ols_av,pass,1.4891,9
selected_two_stage_av,pass,-12.1764,1
selected_two_stage_av,pass,-11.4572,1
selected_two_stage_av,pass,-10.738,7
selected_two_stage_av,pass,-10.0187,20
selected_two_stage_av,pass,-9.2995,37
selected_two_stage_av,pass,-8.5802,111
selected_two_stage_av,pass,-7.861,143
selected_two_stage_av,pass,-7.1418,262
selected_two_stage_av,pass,-6.4225,451
selected_two_stage_av,pass,-5.7033,440
selected_two_stage_av,pass,-4.984,606
selected_two_stage_av,pass,-4.2648,413
selected_two_stage_av,pass,-3.5456,497
selected_two_stage_av,pass,-2.8263,268
selected_two_stage_av,pass,-2.1071,245
selected_two_stage_av,pass,-1.3878,314
selected_two_stage_av,pass,-0.6686,562
selected_two_stage_av,pass,0.0506,438
selected_two_stage_av,pass,0.7699,175
selected_two_stage_av,pass,1.4891,9
