model,check_name,value,lower_bound,upper_bound,status
modeloespecifico,bid_rate_range,1.0,0.05,0.95,FAIL
modeloespecifico,make_rate_range,0.9496,0.1,1.0,PASS
selected_two_stage_av,bid_rate_range,1.0,0.05,0.95,FAIL
selected_two_stage_av,make_rate_range,0.996,0.1,1.0,PASS
gbt_av,bid_rate_range,0.952,0.05,0.95,FAIL
gbt_av,make_rate_range,0.9916,0.1,1.0,PASS
constrained_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
constrained_ols_av,make_rate_range,1.0,0.1,1.0,PASS
selected_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
selected_ols_av,make_rate_range,1.0,0.1,1.0,PASS
full_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
full_ols_av,make_rate_range,1.0,0.1,1.0,PASS
stricthellraiser,bid_rate_range,1.0,0.05,0.95,FAIL
stricthellraiser,make_rate_range,0.9472,0.1,1.0,PASS
rankthetank,bid_rate_range,1.0,0.05,0.95,FAIL
rankthetank,make_rate_range,0.1476,0.1,1.0,PASS
constrained_ols_av,r2_positive_high,0.5029,0.0,1.0,PASS
constrained_ols_av,r2_positive_low,0.5088,0.0,1.0,PASS
constrained_ols_av,r2_positive_pass,0.0066,0.0,1.0,PASS
constrained_ols_av,r2_positive_suit,0.5524,0.0,1.0,PASS
full_ols_av,r2_positive_high,0.5175,0.0,1.0,PASS
full_ols_av,r2_positive_low,0.5233,0.0,1.0,PASS
full_ols_av,r2_positive_pass,0.0758,0.0,1.0,PASS
full_ols_av,r2_positive_suit,0.5704,0.0,1.0,PASS
gbt_av,r2_positive_high,0.5396,0.0,1.0,PASS
gbt_av,r2_positive_low,0.5553,0.0,1.0,PASS
gbt_av,r2_positive_pass,0.0845,0.0,1.0,PASS
gbt_av,r2_positive_suit,0.6044,0.0,1.0,PASS
selected_ols_av,r2_positive_high,0.5025,0.0,1.0,PASS
selected_ols_av,r2_positive_low,0.5091,0.0,1.0,PASS
selected_ols_av,r2_positive_pass,0.0557,0.0,1.0,PASS
selected_ols_av,r2_positive_suit,0.5522,0.0,1.0,PASS
selected_two_stage_av,r2_positive_high,0.5025,0.0,1.0,PASS
selected_two_stage_av,r2_positive_low,0.5091,0.0,1.0,PASS
selected_two_stage_av,r2_positive_pass,0.0557,0.0,1.0,PASS
selected_two_stage_av,r2_positive_suit,0.0,0.0,1.0,FAIL
