model,contract,value,metric
modeloespecifico,pooled,4.6906,fullgame_eppd
modeloespecifico,suit,-0.16,net_eppd_delta
modeloespecifico,high,-0.6,net_eppd_delta
modeloespecifico,low,-0.1625,net_eppd_delta
selected_two_stage_av,pooled,4.5946,fullgame_eppd
selected_two_stage_av,suit,-0.0379,net_eppd_delta
selected_two_stage_av,high,0.7647,net_eppd_delta
selected_two_stage_av,low,0.2456,net_eppd_delta
gbt_av,pooled,4.4098,fullgame_eppd
gbt_av,suit,-0.1667,net_eppd_delta
gbt_av,high,-0.7156,net_eppd_delta
gbt_av,low,0.1974,net_eppd_delta
constrained_ols_av,pooled,4.9566,fullgame_eppd
constrained_ols_av,suit,-0.0149,net_eppd_delta
constrained_ols_av,high,-0.1585,net_eppd_delta
constrained_ols_av,low,-0.0725,net_eppd_delta
selected_ols_av,pooled,4.9224,fullgame_eppd
selected_ols_av,suit,-0.0597,net_eppd_delta
selected_ols_av,high,-0.3165,net_eppd_delta
selected_ols_av,low,-0.3019,net_eppd_delta
full_ols_av,pooled,4.9704,fullgame_eppd
full_ols_av,suit,0.0634,net_eppd_delta
full_ols_av,high,-0.0486,net_eppd_delta
full_ols_av,low,0.0303,net_eppd_delta
stricthellraiser,pooled,2.2032,fullgame_eppd
stricthellraiser,suit,-0.2352,net_eppd_delta
rankthetank,pooled,-1.6218,fullgame_eppd
rankthetank,suit,0.4572,net_eppd_delta
anchor_hybrid_r0_full,pooled,3.5846,fullgame_eppd
anchor_hybrid_r0_full,suit,-0.2403,net_eppd_delta
anchor_hybrid_r0_full,high,-0.5468,net_eppd_delta
anchor_hybrid_r0_full,low,-0.4245,net_eppd_delta
