model,net_eppd,eppd,bid_rate,pass_rate,make_rate,cvar_5,net_cvar_5,mix_suit,mix_high,mix_low,source
modeloespecifico,1.6608,5.632,1.0,0.0,0.9496,-4.512,-11.112,0.94,0.028,0.032,comparator
selected_two_stage_av,1.7724,5.4876,0.9256,0.0744,0.9892,1.5652,-5.713,0.974,0.0068,0.0192,comparator
gbt_av,2.1136,5.3012,0.852,0.148,0.9953,2.4057,-4.4528,0.774,0.0912,0.1348,comparator
constrained_ols_av,1.8152,5.9076,1.0,0.0,1.0,2.656,-4.688,0.9388,0.0164,0.0448,comparator
selected_ols_av,1.4908,5.7452,1.0,0.0,0.9996,2.368,-5.256,0.9636,0.016,0.0204,comparator
full_ols_av,1.972,5.844,0.9716,0.0284,1.0,2.7603,-4.4793,0.9624,0.0232,0.0144,comparator
stricthellraiser,0.1096,4.9284,1.0,0.0,0.9472,-3.0,-11.224,1.0,0.0,0.0,comparator
rankthetank,-9.6972,-5.5808,1.0,0.0,0.1476,-9.248,-15.04,1.0,0.0,0.0,comparator
modeloespecifico,4.6906,,0.488,0.512,0.9287,-3.26,,0.94,0.028,0.032,h2h_self_play
selected_two_stage_av,4.7558,,0.4936,0.5064,0.9384,-2.576,,0.974,0.0068,0.0192,h2h_self_play
gbt_av,4.8606,,0.4972,0.5028,0.9654,-1.204,,0.774,0.0912,0.1348,h2h_self_play
constrained_ols_av,4.998,,0.5044,0.4956,0.9984,1.176,,0.9388,0.0164,0.0448,h2h_self_play
selected_ols_av,4.9914,,0.4944,0.5056,0.996,1.104,,0.9636,0.016,0.0204,h2h_self_play
full_ols_av,4.9982,,0.5064,0.4936,0.9984,1.424,,0.9624,0.0232,0.0144,h2h_self_play
stricthellraiser,2.2032,,0.5072,0.4928,0.4306,-6.0,,1.0,0.0,0.0,h2h_self_play
rankthetank,-1.6218,,0.4756,0.5244,0.1102,-9.516,,1.0,0.0,0.0,h2h_self_play
anchor_hybrid_r0_full,3.5846,,0.4024,0.5976,0.8539,-5.908,,0.7686,0.0976,0.1337,h2h_self_play
